Title,Slug,Operator,Itinerary-Operator-URL,Itinerary Cover,Itinerary Specific,Map,Days,Antarctica Activities,Destinations,Departure Port,Return Port,Sailings,Tag 1 (Popular),Tag 1,Tag 2 (Special offer),Tag 2,Itinerary Details,Gallery image 1,Gallery image 2,Gallery image 3,Gallery image 4,Gallery image 5,Gallery image 6,Gallery image 7,Gallery image 8,Meta Description
Wild Antarctica featuring the Weddell Sea,wild-antarctica-featuring-the-weddell-sea,aurora-expeditions,https://www.aurora-expeditions.com/expedition/wild-antarctica/,,,https://framerusercontent.com/images/lGOIhpg7TgJ57TpJjeXRD61AsM.jpg,12,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on the Wild Antarctica expedition, exploring the Weddell Sea. Witness stunning landscapes and encounter unique wildlife. Book your adventure with Aurora Expeditions."
Across the Antarctic Circle,across-the-antarctic-circle,aurora-expeditions,https://www.aurora-expeditions.com/destination/antarctic-circle/,,,https://framerusercontent.com/images/uJMFejDkCQK4JbdblOjeq9E.jpg,13,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on an extraordinary journey to Antarctica with Aurora Expeditions and experience the magic of crossing the Antarctic Circle. Discover breathtaking landscapes and encounter unique wildlife on this remarkable adventure. Join us today!
"South Georgia, Falklands & Antarctic Odyssey",south-georgia-falklands-antarctic-odyssey,aurora-expeditions,https://www.aurora-expeditions.com/expedition/south-georgia-antarctic-odyssey/,,,https://framerusercontent.com/images/60L1THo1n5ox2OBrS52jbfUQrG4.jpg,21,"polar-plunge,zodiac-ride,hiking,photography",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Join the South Georgia, Falklands & Antarctic Odyssey expedition organized by Aurora Expeditions. Explore the stunning landscapes of Antarctica, South Georgia, and the Falkland Islands. Witness diverse wildlife, including penguins, seals, and whales. Embark on an unforgettable adventure in the remote wilderness of the Southern Ocean."
Antarctica in Depth,antarctica-in-depth,scenic-ocean-voyages,https://www.scenicusa.com/tours/101s-stusa/101s-stusa-2025-bue-bue,,,https://framerusercontent.com/images/byZiFF2tCe21IRwBFiNflokgq0.jpg,13,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Antarctica in Depth expedition organized by Scenic Ocean Voyages offers an immersive experience for those seeking to explore the continent's unique wildlife, landscapes, and history."
Beyond the Antarctic Circle,beyond-the-antarctic-circle,scenic-ocean-voyages,https://www.scenicusa.com/tours/701s-stusa/701s-stusa-2024-bue-bue,,,https://framerusercontent.com/images/ZchUft2XDUYheIsNdD1mXT0RoM.jpg,13,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on an unforgettable adventure with Scenic Ocean Voyages' Beyond the Antarctic Circle expedition. Explore the breathtaking scenery and wildlife of the world's southernmost continent.
Antarctica and the Weddell Sea,antarctica-and-the-weddell-sea,scenic-ocean-voyages,https://www.scenicusa.com/tours/501s-stusa/501s-stusa-2026-bue-bue,,,https://framerusercontent.com/images/fTsveY8EmiaZ2nbaQM3cEdnlk.jpg,16,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on an unforgettable adventure with Scenic Ocean Voyages' Antarctica and the Weddell Sea expedition. Witness the majesty of Antarctica's untouched landscapes and wildlife in this once-in-a-lifetime experience.
Wonders of Patagonia and Antarctica - Cruise & Land Journey,wonders-of-patagonia-and-antarctica-cruise-land-journey,scenic-ocean-voyages,https://www.globaljourneys.com/trip/scenic-osp4-2,,,https://framerusercontent.com/images/O1HQKBH1zKViYVr83esp6ihAmQ.jpg,20,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on a breathtaking Cruise & Land Journey to explore the Wonders of Patagonia and Antarctica with Scenic-Ocean-Voyages. Witness stunning landscapes, unique wildlife, and immerse yourself in the rich history of the region. Book now for an unforgettable adventure."
"Antarctica, South Georgia & Falkland Islands",antarctica-south-georgia-falkland-islands,scenic-ocean-voyages,https://www.scenic.com.au/tours/201s-stau/201s-stau-2025-bue-bue,,,https://framerusercontent.com/images/sIk7EpTBVLOD30vWYpNQg1wN0bc.jpg,20,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on an unforgettable journey to Antarctica, South Georgia & Falkland Islands with Scenic Ocean Voyages. Witness stunning landscapes and diverse wildlife in the southernmost reaches of the world."
"Antarctica, Argentina & Brazil - cruise & land journey",antarctica-argentina-brazil-cruise-land-journey,scenic-ocean-voyages,https://www.scenic.com.au/tours/osa1-stau/osa1-stau-2026-bue-rio,,,https://framerusercontent.com/images/n87kG9rwO2TxdSZNFD4YyMl9bnE.jpg,22,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Explore Antarctica, Argentina & Brazil on a scenic ocean voyage. Experience stunning landscapes, wildlife, and culture on this unique cruise and land journey with Scenic Ocean Voyages."
"Highlights of Antarctica, Argentina and Brazil - Cruise & Land Journey",highlights-of-antarctica-argentina-and-brazil-cruise-land-journey,scenic-ocean-voyages,https://www.scenic.com.au/tours/osa1-stau/osa1-stau-2026-bue-rio,,,https://framerusercontent.com/images/OWFcD4cwyZkcXQ3VwsgztrQqaE.jpg,22,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on a 22-day journey to explore the breathtaking highlights of Antarctica, Argentina, and Brazil with Scenic Ocean Voyages. Enjoy a unique cruise and land experience that promises an unforgettable adventure."
Antarctica's Ross Sea: Majestic Ice & Wildlife,antarcticas-ross-sea-majestic-ice-wildlife,scenic-ocean-voyages,https://www.scenicusa.com/tours/131s-stusa/131s-stusa-2025-dud-dud,,,https://framerusercontent.com/images/9pHVrguNbVIvWq9n1KNyFGLt8w.jpg,24,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Explore the breathtaking beauty of Antarctica's Ross Sea on the Majestic Ice & Wildlife expedition organized by Scenic Ocean Voyages. Witness the stunning ice formations and encounter diverse wildlife in this extraordinary journey.
Mawson's Antarctica: Along the East Coast,mawsons-antarctica-along-the-east-coast,scenic-ocean-voyages,https://www.scenic.com.au/tours/111s-stau/111s-stau-2025-zqn-hba,,,https://framerusercontent.com/images/NdGRFHogkuzkALjD14snsiCce4c.jpg,25,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on the Mawson's Antarctica: Along the East Coast expedition to explore scenic ocean voyages along the mesmerizing East Coast. Witness the beauty of Antarctica firsthand.
"Wonders of Machu Picchu, the Amazon & Antarctica - Cruise & Land Journey",wonders-of-machu-picchu-the-amazon-antarctica-cruise-land-journey,scenic-ocean-voyages,https://www.scenicusa.com/tours/osz1-stusa/osz1-stusa-2026-lim-bue,,,https://framerusercontent.com/images/JCzhpdRkxTQvUJWsFesLDLUP7Q.jpg,27,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Discover the wonders of Machu Picchu, the Amazon & Antarctica on this unforgettable Cruise & Land Journey organized by Scenic Ocean Voyages. Explore breathtaking landscapes, ancient ruins, and diverse wildlife. Embark on an adventure of a lifetime."
"Ultimate Journey: Patagonia, Argentina, Brazil & Antarctica - Cruise & Land Journey",ultimate-journey-patagonia-argentina-brazil-antarctica-cruise-land-journey,scenic-ocean-voyages,https://www.scenic.com.au/tours/opa1-stau/opa1-stau-2026-scl-rio,,,https://framerusercontent.com/images/6hIEYiYlpRISpPHQuPwbJw4eOM.jpg,29,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on a scenic journey with Ultimate Journey: Patagonia, Argentina, Brazil & Antarctica. Enjoy an immersive land and cruise experience organized by Scenic Ocean Voyages."
Ultimate Antarctica & the Fjords of Southern Chile,ultimate-antarctica-the-fjords-of-southern-chile,scenic-ocean-voyages,https://www.aurora-expeditions.com/expedition/antarctica-explorer-chilean-fjords/,,,https://framerusercontent.com/images/wTDR37BdeshshqPl1RGrwGUHC5A.jpg,29,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Join us on the Ultimate Antarctica & the Fjords of Southern Chile expedition with Scenic Ocean Voyages. Discover the breathtaking beauty of Antarctica and the stunning fjords of Southern Chile on this unforgettable journey.
"Ultimate Chilean Fjords, Glaciers & Antarctic Wildlife Explorer",ultimate-chilean-fjords-glaciers-antarctic-wildlife-explorer,scenic-ocean-voyages,https://www.aurora-expeditions.com/expedition/antarctica-explorer-chilean-fjords/,,,https://framerusercontent.com/images/4aFtxthaugeSBWZ06VAMwjQ1jI.jpg,31,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on an extraordinary adventure with the Ultimate Chilean Fjords, Glaciers & Antarctic Wildlife Explorer expedition by scenic-ocean-voyages. Immerse yourself in the stunning beauty of the Chilean fjords, witness majestic glaciers, and encounter captivating Antarctic wildlife. A truly unforgettable journey awaits."
Treasures of Argentina & Brazil with Antarctica - Cruise & Land Journey,treasures-of-argentina-brazil-with-antarctica-cruise-land-journey,scenic-ocean-voyages,https://www.scenic.com.au/tours/osa3-stau/osa3-stau-2025-bue-rio,,,https://framerusercontent.com/images/OUG6vnP7akAsbXtbwkDruB37Oc.jpg,32,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Explore the stunning treasures of Argentina and Brazil on a remarkable cruise and land journey with Scenic Ocean Voyages, including an unforgettable expedition to awe-inspiring Antarctica."
11-Day The Great White Continent,11-day-the-great-white-continent,seabourn-expedition-cruises,https://www.seabourn.com/en/eu/find-a-cruise/s5j10aan2/v511,,,https://framerusercontent.com/images/Ij4Y8x2uRq8MVmmJ9t1l4BHmL9M.webp,11,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Explore the breathtaking beauty of Antarctica on the 11-Day The Great White Continent expedition organized by Seabourn Expedition Cruises. Witness stunning landscapes, encounter diverse wildlife, and experience the wonders of this remote, icy paradise. Embark on a voyage of discovery unlike any other."
"21-Day Antarctica, South Georgia & Falkland",21-day-antarctica-south-georgia-falkland,seabourn-expedition-cruises,https://www.seabourn.com/en/find-a-cruise/s5j20aan3/v515,,,https://framerusercontent.com/images/G961kIIU3XgJprFzH7UqXHpf5Cs.webp,21,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on a 21-day Antarctica, South Georgia & Falkland expedition with Seabourn Expedition Cruises. Explore the stunning landscapes and diverse wildlife of these remote destinations."
13-Day Antarctica Exploration,13-day-antarctica-exploration,seabourn-expedition-cruises,https://www.seabourn.com/en/us/find-a-cruise/s5j12ban4/p515,,,https://framerusercontent.com/images/TWw9QBvimHMpePQMKuYvdWzlOwc.webp,13,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on a 13-day Antarctica Exploration with Seabourn Expedition Cruises. Witness breathtaking landscapes, encounter diverse wildlife, and immerse yourself in the beauty of this untouched continent."
35-Day Chilean Fjords & Antarctica,35-day-chilean-fjords-antarctica,seabourn-expedition-cruises,https://www.seabourn.com/en/ca/find-a-cruise/s6j34aa11/p621a,,,https://framerusercontent.com/images/qtDVjdvkCjbEyoLi9CYqxtSEIc.webp,35,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on a 35-day expedition cruise to the Chilean Fjords and Antarctica with Seabourn Expedition Cruises. Explore the stunning landscapes and wildlife of the region with expert guides.
25-Day The Great White Continent & South Atlantic,25-day-the-great-white-continent-south-atlantic,seabourn-expedition-cruises,https://www.seabourn.com/en/find-a-cruise/s6j24aa23/v622a,,,https://framerusercontent.com/images/SbCm0Iv1xkNeCPqhuYt9EStT9E.webp,25,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Explore the breathtaking beauty of Antarctica on the 25-Day The Great White Continent & South Atlantic expedition organized by Seabourn Expedition Cruises. Witness stunning landscapes, diverse wildlife, and immerse yourself in the wonders of this extraordinary continent. Embark on a once-in-a-lifetime adventure that will leave you in awe."
15-Day Chilean Fjord & Patagonia Explorer,15-day-chilean-fjord-patagonia-explorer,seabourn-expedition-cruises,https://www.seabourn.com/en/us/find-a-cruise/s6j14aa12/p624,,,https://framerusercontent.com/images/CI62Gky2lEpDUinKJq9nPutWwZw.webp,15,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,Embark on a 15-day Chilean Fjord & Patagonia Explorer expedition with Seabourn Expedition Cruises. Discover the breathtaking beauty of Antarctica's icy landscapes and explore the stunning Chilean fjords.
15-Wild South Atlantic & Falkland Islands,15-wild-south-atlantic-falkland-islands,seabourn-expedition-cruises,https://www.seabourn.com/en/us/find-a-cruise/s6j25an07/v657,,,https://framerusercontent.com/images/3RwkL23qsOrKsd8rQpEbCY4ewbo.webp,15,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,ushuaia,ushuaia,,FALSE,,FALSE,,,,,,,,,,,"Embark on Seabourn Expedition Cruises' 15-Wild South Atlantic & Falkland Islands expedition and discover abundant wildlife, historic sites, and stunning landscapes in the untouched beauty of Antarctica."
King George Island to King George Island,king-george-island-to-king-george-island,silversea-expeditions,https://www.silversea.com/destinations/antarctica-cruise/king-george-island-to-king-george-island-wi260111006.html,,,https://framerusercontent.com/images/xWpzdAHY9KKaamZBhm0zIMgPnoM.jpg,6,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,king-george-island,king-george-island,,FALSE,,FALSE,,,,,,,,,,,Embark on a remarkable Antarctica expedition from King George Island to King George Island with Silversea Expeditions. Discover the beauty and wonders of the icy continent on this extraordinary journey.
Puerto Williams to Puerto Williams 18 Days,puerto-williams-to-puerto-williams-18-days,silversea-expeditions,https://www.silversea.com/destinations/antarctica-cruise/puerto-williams-to-puerto-williams-wi250212010.html,,,https://framerusercontent.com/images/BOi8WGrSjre2w66CrvRVzhW02Q.jpg,18,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,puerto-williams,puerto-williams,,FALSE,,FALSE,,,,,,,,,,,Embark on an unforgettable 18-day Antarctica expedition: Puerto Williams to Puerto Williams. Experience the wonders of this untouched icy wilderness with Silversea Expeditions.
Puerto Williams to Puerto Williams 10 Days,puerto-williams-to-puerto-williams-10-days,silversea-expeditions,https://www.silversea.com/destinations/antarctica-cruise/puerto-williams-to-puerto-williams-wi250212010.html,,,https://framerusercontent.com/images/adq3GDNUkyTFCTFNu1gEL0H6B4.jpg,10,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,puerto-williams,puerto-williams,,FALSE,,FALSE,,,,,,,,,,,Silversea Expeditions' Puerto Williams to Puerto Williams 10-day Antarctica expedition offers a once-in-a-lifetime opportunity to explore the stunning landscapes and unique wildlife of the White Continent.
Puerto Williams to Cape Town,puerto-williams-to-cape-town,silversea-expeditions,https://www.silversea.com/destinations/transoceanic-cruise/puerto-williams-to-cape-town-wi250312022.html,,,https://framerusercontent.com/images/WbHv9xAea0sqHxkkjJKrTSCFg.jpg,40,"polar-plunge,zodiac-ride,hiking",antarctica-peninsula,puerto-williams,cape-town,,FALSE,,FALSE,,,,,,,,,,,"Embark on an epic Puerto Williams to Cape Town expedition with Silversea Expeditions. Explore Antarctica's stunning landscapes and diverse wildlife. Expertly guided, this journey promises an unforgettable experience."
